number,release_date,year
1,22-11-1995,1995
2,25-11-1998,1998
3,24-11-1999,1999
4,02-11-2001,2001
5,30-05-2003,2003
6,05-11-2004,2004
7,09-06-2006,2006
8,29-06-2007,2007
9,27-06-2008,2008
10,29-05-2009,2009
11,18-06-2010,2010
12,24-06-2011,2011
13,22-06-2012,2012
14,21-06-2013,2013
15,19-06-2015,2015
16,25-11-2015,2015
17,17-06-2016,2016
18,16-06-2017,2017
19,22-11-2017,2017
20,15-06-2018,2018
21,21-06-2019,2019
22,06-03-2020,2020
23,25-12-2020,2020
24,18-06-2021,2021
25,11-03-2022,2022
26,17-06-2022,2022
27,16-06-2023,2023
28,14-06-2024,2024
