sr_no,genres
1,Adventure
2,Animation
3,Comedy
4,Buddy Comedy
5,Computer Animation
6,Fantasy
7,Supernatural Fantasy
8,Urban Adventure
9,Animal Adventure
10,Quest
11,Sea Adventure
12,Action
13,Superhero
14,Motorsport
15,Sport
16,Family
17,Adventure Epic
18,Artificial Intelligence
19,Dystopian Sci-Fi
20,Sci-Fi
21,Space Sci-Fi
22,Coming-of-Age
23,Globetrotting Adventure
24,Car Action
25,Crime
26,Spy
27,Fairy Tale
28,Sword & Sorcery
29,Teen Adventure
30,Dinosaur Adventure
31,Drama
32,Music
33,Mystery
34,Road Trip
35,Fantasy Epic
36,Teen Comedy
37,Time Travel
38,Romance
39,Teen Drama
