,crypto Name,Price,TimeStamp
0,Bitcoin price,"89,153.55",2025-03-07 16:10:23.622299
Bitcoin price,"89,153.55",2025-03-07 16:10:33.800093
Bitcoin price,"89,153.55",2025-03-07 16:10:43.995560
Bitcoin price,"89,153.55",2025-03-07 16:10:54.301891
Bitcoin price,"89,153.55",2025-03-07 16:11:04.504781
Bitcoin price,"89,153.55",2025-03-07 16:11:14.695026
0,Bitcoin price,"89,183.32",2025-03-07 16:12:41.454193
0,Bitcoin price,"89,201.21",2025-03-07 16:12:51.775121
0,Bitcoin price,"89,201.21",2025-03-07 16:13:01.965992
0,Bitcoin price,"89,201.21",2025-03-07 16:13:12.148141
0,Bitcoin price,"89,201.21",2025-03-07 16:13:22.338041
0,Bitcoin price,"89,201.21",2025-03-07 16:13:32.541588
0,Bitcoin price,"89,201.21",2025-03-07 16:13:42.734398
